2026-03-15 22:46:03 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:46:03 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:46:03 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:46:03 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 22:46:03 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:46:03 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:46:03 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:46:03 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:47:02 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-15 22:47:02 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-15 22:47:02 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:47:02 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-15 22:50:56 | vector_store | WARNING  | vector_store.py:110 | Clearing collection: rag_collection
2026-03-15 22:50:56 | vector_store | INFO     | vector_store.py:120 | Collection cleared successfully
2026-03-16 07:13:23 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-16 07:13:23 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-16 07:13:39 | vector_store | INFO     | vector_store.py:72 | Ingesting 1313 documents...
2026-03-16 07:14:14 | vector_store | INFO     | vector_store.py:77 | Successfully ingested 1313 documents
2026-03-16 07:17:18 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-16 07:17:18 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-16 07:23:32 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-16 07:23:32 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-16 07:26:27 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-16 07:26:27 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-16 07:27:21 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-16 07:27:21 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
2026-03-16 07:30:47 | vector_store | INFO     | vector_store.py:53 | VectorStore initialized at: data\chroma_db
2026-03-16 07:30:47 | vector_store | INFO     | vector_store.py:54 | Collection: rag_collection
